group,detailPage,name,subjectId,canton
Inderkum Hansheiri,/ab/data/d/s/4817/349553/d_s_4817_349553_349753.htm#349755,Präsident,10.3625,Präsident
G,/ab/data/d/s/4817/349553/d_s_4817_349553_349753.htm#349816,Recordon Luc,10.3625,VD
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349747.htm#349905,Frick Bruno,10.099,SZ
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349747.htm#349896,David Eugen,10.099,SG
Inderkum Hansheiri,/ab/data/d/s/4817/350281/d_s_4817_350281_350443.htm#350445,Präsident,10.3980,Präsident
CEg,/ab/data/d/s/4817/350281/d_s_4817_350281_350443.htm#350616,Graber Konrad,10.3980,LU
Inderkum Hansheiri,/ab/data/d/s/4817/350281/d_s_4817_350281_350438.htm#350440,Präsident,10.3897,Präsident
CEg,/ab/data/d/s/4817/350281/d_s_4817_350281_350438.htm#350607,Stadler Markus,10.3897,UR
Inderkum Hansheiri,/ab/data/d/s/4817/350281/d_s_4817_350281_350429.htm#350431,Präsident,10.4164,Präsident
G,/ab/data/d/s/4817/350281/d_s_4817_350281_350429.htm#350529,Recordon Luc,10.4164,VD
V,/ab/data/d/s/4817/350281/d_s_4817_350281_350429.htm#350601,Reimann Maximilian,10.4164,AG
V,/ab/data/d/s/4817/350281/d_s_4817_350281_350429.htm#350608,Jenny This,10.4164,GL
Inderkum Hansheiri,/ab/data/d/s/4817/351161/d_s_4817_351161_351260.htm#351295,Präsident,11.9001,Präsident
CEg,/ab/data/d/s/4817/348115/d_s_4817_348115_348310.htm#348501,Niederberger Paul,10.333,NW
V,/ab/data/d/s/4817/348115/d_s_4817_348115_348310.htm#348516,Reimann Maximilian,10.333,AG
CEg,/ab/data/d/s/4817/348115/d_s_4817_348115_348310.htm#348566,Schwaller Urs,10.333,FR
Inderkum Hansheiri,/ab/data/d/s/4817/346362/d_s_4817_346362_346438.htm#346440,Präsident,10.481,Präsident
S,/ab/data/d/s/4817/346362/d_s_4817_346362_346438.htm#346633,Zanetti Roberto,10.481,SO
Inderkum Hansheiri,/ab/data/d/s/4817/348115/d_s_4817_348115_348302.htm#348304,Präsident,10.305,Präsident
CEg,/ab/data/d/s/4817/348115/d_s_4817_348115_348302.htm#348473,Stähelin Philipp,10.305,TG
CEg,/ab/data/d/s/4817/348115/d_s_4817_348115_348302.htm#348479,Schwaller Urs,10.305,FR
CEg,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346303,David Eugen,11.008,SG
RL,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346428,Briner Peter,11.008,SH
S,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346351,Berberat Didier,11.008,NE
V,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346453,Germann Hannes,11.008,SH
RL,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346464,Forster-Vannini Erika,11.008,SG
RL,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346472,Freitag Pankraz,11.008,GL
RL,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346509,Büttiker Rolf,11.008,SO
CEg,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346525,David Eugen,11.008,SG
CEg,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346540,Stähelin Philipp,11.008,TG
CEg,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346527,David Eugen,11.008,SG
S,/ab/data/d/s/4817/346108/d_s_4817_346108_346291.htm#346399,Berberat Didier,11.008,NE
RL,/ab/data/d/n/4818/352959/d_n_4818_352959_353139.htm#353166,Eichenberger-Walther Corina,09.3861,AG
S,/ab/data/d/n/4818/352720/d_n_4818_352720_352893.htm#352895,Heim Bea,09.3567,SO
V,/ab/data/d/n/4818/352720/d_n_4818_352720_352965.htm#352891,Walter Hansjörg,10.071,TG
V,/ab/data/d/s/4820/366530/d_s_4820_366530_366897.htm#367104,Bürgi Hermann,10.093,TG
